"","municipio.x","epiweek","casos","confirmados","incidencia","obitos","letalidade","municipio.y","pop","mun"
"1","ABREU E LIMA",1,156,54,0.00054,0,0,"ABREU E LIMA","100346","Abreu e Lima"
"2","ABREU E LIMA",2,178,44,0.00044,2,2e-05,"ABREU E LIMA","100346","Abreu e Lima"
"3","ABREU E LIMA",3,119,30,3e-04,0,0,"ABREU E LIMA","100346","Abreu e Lima"
"4","ABREU E LIMA",4,184,40,4e-04,0,0,"ABREU E LIMA","100346","Abreu e Lima"
"5","ABREU E LIMA",5,141,41,0.00041,1,1e-05,"ABREU E LIMA","100346","Abreu e Lima"
"6","ABREU E LIMA",6,166,57,0.00057,0,0,"ABREU E LIMA","100346","Abreu e Lima"
"7","ABREU E LIMA",7,171,74,0.00074,0,0,"ABREU E LIMA","100346","Abreu e Lima"
"8","ABREU E LIMA",8,181,60,6e-04,0,0,"ABREU E LIMA","100346","Abreu e Lima"
"9","ABREU E LIMA",9,148,38,0.00038,2,2e-05,"ABREU E LIMA","100346","Abreu e Lima"
"10","ABREU E LIMA",10,264,86,0.00086,0,0,"ABREU E LIMA","100346","Abreu e Lima"
"11","ABREU E LIMA",11,230,71,0.00071,2,2e-05,"ABREU E LIMA","100346","Abreu e Lima"
"12","ABREU E LIMA",12,308,100,0.001,1,1e-05,"ABREU E LIMA","100346","Abreu e Lima"
"13","ABREU E LIMA",13,272,90,9e-04,0,0,"ABREU E LIMA","100346","Abreu e Lima"
"14","ABREU E LIMA",14,275,111,0.00111,3,3e-05,"ABREU E LIMA","100346","Abreu e Lima"
"15","ABREU E LIMA",15,262,107,0.00107,1,1e-05,"ABREU E LIMA","100346","Abreu e Lima"
"16","ABREU E LIMA",16,289,153,0.00153,8,8e-05,"ABREU E LIMA","100346","Abreu e Lima"
"17","ABREU E LIMA",17,307,139,0.00139,5,5e-05,"ABREU E LIMA","100346","Abreu e Lima"
"18","ABREU E LIMA",18,284,132,0.00132,4,4e-05,"ABREU E LIMA","100346","Abreu e Lima"
"19","ABREU E LIMA",19,323,145,0.00145,6,6e-05,"ABREU E LIMA","100346","Abreu e Lima"
"20","ABREU E LIMA",20,317,164,0.00164,11,0.00011,"ABREU E LIMA","100346","Abreu e Lima"
"21","ABREU E LIMA",21,373,184,0.00184,12,0.00012,"ABREU E LIMA","100346","Abreu e Lima"
"22","ABREU E LIMA",22,300,138,0.00138,6,6e-05,"ABREU E LIMA","100346","Abreu e Lima"
"23","ABREU E LIMA",23,256,95,0.00095,4,4e-05,"ABREU E LIMA","100346","Abreu e Lima"
