"";"mandante";"visitante";"time"
"1";"FLA";"PAL";"##------ Mon May 10 13:56:39 2021 ------##"
"2";"COR";"ATL";"##------ Mon May 10 13:56:39 2021 ------##"
"3";"CUI";"JUV";"##------ Mon May 10 13:56:39 2021 ------##"
"4";"CHA";"RED";"##------ Mon May 10 13:56:39 2021 ------##"
"5";"ATH";"AME";"##------ Mon May 10 13:56:39 2021 ------##"
"6";"BAH";"SAN";"##------ Mon May 10 13:56:39 2021 ------##"
"7";"CEA";"GRE";"##------ Mon May 10 13:56:39 2021 ------##"
"8";"INT";"SPO";"##------ Mon May 10 13:56:39 2021 ------##"
"9";"ATL";"FOR";"##------ Mon May 10 13:56:39 2021 ------##"
"10";"SAO";"FLU";"##------ Mon May 10 13:56:39 2021 ------##"
"11";"SAN";"CEA";"##------ Mon May 10 13:56:39 2021 ------##"
"12";"ATL";"SAO";"##------ Mon May 10 13:56:39 2021 ------##"
"13";"JUV";"ATH";"##------ Mon May 10 13:56:39 2021 ------##"
"14";"RED";"BAH";"##------ Mon May 10 13:56:39 2021 ------##"
"15";"SPO";"ATL";"##------ Mon May 10 13:56:39 2021 ------##"
"16";"FOR";"INT";"##------ Mon May 10 13:56:39 2021 ------##"
"17";"GRE";"FLA";"##------ Mon May 10 13:56:39 2021 ------##"
"18";"AME";"COR";"##------ Mon May 10 13:56:39 2021 ------##"
"19";"PAL";"CHA";"##------ Mon May 10 13:56:39 2021 ------##"
"20";"FLU";"CUI";"##------ Mon May 10 13:56:39 2021 ------##"
"21";"PAL";"COR";"##------ Mon May 10 13:56:39 2021 ------##"
"22";"FLA";"AME";"##------ Mon May 10 13:56:39 2021 ------##"
"23";"ATL";"SAO";"##------ Mon May 10 13:56:39 2021 ------##"
"24";"SAN";"JUV";"##------ Mon May 10 13:56:39 2021 ------##"
"25";"GRE";"ATH";"##------ Mon May 10 13:56:39 2021 ------##"
"26";"FOR";"SPO";"##------ Mon May 10 13:56:39 2021 ------##"
"27";"CUI";"ATL";"##------ Mon May 10 13:56:39 2021 ------##"
"28";"CHA";"CEA";"##------ Mon May 10 13:56:39 2021 ------##"
